,category,ticker,quality
0,increasing,ARLP,1.1924710287967235
1,increasing,HWKN,0.9103639630803915
2,increasing,ACGL,0.8638610097939686
3,increasing,COKE,0.8397226881127923
4,increasing,COST,0.8161753955637165
5,increasing,DMLP,0.8151047696808497
6,increasing,CLMB,0.7775179905104206
7,increasing,CTAS,0.7529214141535396
8,increasing,IDCC,0.7380234057995118
9,increasing,BBSI,0.6842468191760256
10,increasing,CRVL,0.6420161025734896
11,increasing,CALM,0.6199362696834487
12,increasing,CASY,0.6102456688068609
13,increasing,FLEX,0.5978750959403042
14,increasing,AXON,0.5701781385424003
15,decreasing,FORR,0.7293445284851487
16,decreasing,MTCH,0.7221815973113815
17,decreasing,JOUT,0.6292210233104776
18,decreasing,ILMN,0.5690632921353718
19,decreasing,IART,0.5110479625235356
20,decreasing,MLCI,0.5055583975525876
21,decreasing,AUDC,0.47828983199237407
22,decreasing,IEP,0.38431045726266677
23,decreasing,IAC,0.342054186713339
24,decreasing,MKTX,0.2731715695498802
25,decreasing,HTLD,0.2510953938046566
26,decreasing,JACK,0.2387653697668835
27,decreasing,KVHI,0.22374654457000276
28,decreasing,MNRO,0.20758734763669617
29,decreasing,MLAB,0.20707220492631206
30,one_spike,IMCV,46.89719893604612
31,one_spike,AEP,44.342618216951415
32,one_spike,CME,43.16641788381499
33,one_spike,EXC,42.860945233680994
34,one_spike,CSCO,41.228807158812415
35,one_spike,EBMT,38.16673150649506
36,one_spike,IMKTA,37.014487244329025
37,one_spike,FNWD,36.6174361863723
38,one_spike,INVA,35.27558485049167
39,one_spike,MSEX,33.72666259572685
40,one_spike,EBAY,32.71336009646141
41,one_spike,ERIC,32.05565517680139
42,one_spike,FCAP,31.966984839566944
43,one_spike,AMZN,31.014825244630043
44,one_spike,HIFS,30.96493408479927
45,two_spikes,CHSCP,55.42977053255475
46,two_spikes,EFSI,48.31942531322573
47,two_spikes,EVRG,44.583413813248754
48,two_spikes,DOX,44.18677870212592
49,two_spikes,CSQ,43.77136234263331
50,two_spikes,LNT,43.71707583410305
51,two_spikes,DGICA,40.87966161015418
52,two_spikes,AZN,39.937871506345076
53,two_spikes,BCPC,39.16625680158452
54,two_spikes,CRWS,38.98690666149401
55,two_spikes,AVBH,38.81527934332221
56,two_spikes,JBSS,38.34223316760751
57,two_spikes,FRAF,38.11565673009162
58,two_spikes,BFIN,37.857030222446525
59,two_spikes,CMCSA,37.77055381930343
60,stagnant,IEF,1.5139074508308548
61,stagnant,KMB,0.8253146969675409
62,stagnant,MDLZ,0.8246808555750128
63,stagnant,FUND,0.8112788091533131
64,stagnant,CHY,0.7687312984378419
65,stagnant,CHI,0.7322584533690696
66,stagnant,HON,0.6279261315567016
67,stagnant,BANFP,0.6120404936621235
68,stagnant,BBH,0.6038756432177182
69,stagnant,IJT,0.6005172253816826
70,stagnant,IBB,0.582296667220004
71,stagnant,JSM,0.5742355821497804
72,stagnant,CPB,0.5726926455263335
73,stagnant,JKHY,0.5234864588021245
74,stagnant,CSX,0.509361777431018
