Date,ACGL,AEP,AMZN,ARLP,AUDC,AVBH,AXON,AZN,BANFP,BBH,BBSI,BCPC,BFIN,CALM,CASY,CHI,CHSCP,CHY,CLMB,CMCSA,CME,COKE,COST,CPB,CRVL,CRWS,CSCO,CSQ,CSX,CTAS,DGICA,DMLP,DOX,EBAY,EBMT,EFSI,ERIC,EVRG,EXC,FCAP,FLEX,FNWD,FORR,FRAF,FUND,HIFS,HON,HTLD,HWKN,IAC,IART,IBB,IDCC,IEF,IEP,IJT,ILMN,IMCV,IMKTA,INVA,JACK,JBSS,JKHY,JOUT,JSM,KMB,KVHI,LNT,MDLZ,MKTX,MLAB,MLCI,MNRO,MSEX,MTCH
2005-09-01,4.675251483917236,16.898326873779297,2.0920000076293945,4.526496410369873,8.259772300720215,12.899999618530273,8.539999961853027,10.919708251953125,7.223055362701416,25.10243034362793,3.8276617527008057,8.513705253601074,8.72238540649414,1.9387164115905762,17.010860443115234,2.7382023334503174,6.8573384284973145,2.4038479328155518,4.100279808044434,6.947578430175781,30.344507217407227,3.810462474822998,29.272367477416992,16.287445068359375,2.631110906600952,0.18726833164691925,11.481566429138184,2.5370402336120605,1.7134557962417603,7.735496997833252,7.822292804718018,4.38079833984375,23.467824935913086,14.960066795349121,4.917572975158691,12.642727851867676,10.2295503616333,10.486303329467773,17.956466674804688,8.121993064880371,9.675960540771484,15.679251670837402,16.9589786529541,10.553955078125,2.0347015857696533,28.120824813842773,21.816953659057617,10.50535774230957,4.209855079650879,3.5474236011505127,15.867993354797363,24.558000564575195,13.378448486328125,50.626583099365234,5.88121223449707,24.247358322143555,6.084630012512207,15.119071006774902,8.908275604248047,15.19228744506836,13.946155548095703,9.359318733215332,14.882641792297363,13.548534393310547,5.852118015289307,29.161792755126953,9.9399995803833,7.307704448699951,12.135004043579102,9.29333782196045,9.749846458435059,34.24482345581055,9.461447715759277,12.175201416015625,5.6836934089660645
2005-09-02,4.673137664794922,16.997455596923828,2.075500011444092,4.422610759735107,8.361641883850098,12.899999618530273,8.380000114440918,11.162576675415039,7.223055362701416,24.86342430114746,3.655532121658325,8.30900764465332,8.716268539428711,1.947321891784668,16.685495376586914,2.7489664554595947,6.8573384284973145,2.4111039638519287,4.026125907897949,6.9452900886535645,30.100624084472656,3.804966449737549,29.25880241394043,16.29829978942871,2.625555992126465,0.18726833164691925,11.527099609375,2.515690803527832,1.7291691303253174,7.648089408874512,7.927703857421875,4.39892053604126,23.412084579467773,14.866421699523926,4.917572975158691,12.642727851867676,10.206175804138184,10.456365585327148,17.966453552246094,8.121993064880371,9.743782997131348,15.679251670837402,16.81410026550293,10.639237403869629,2.0454108715057373,28.120824813842773,21.62898063659668,10.1423978805542,4.246035099029541,3.5430850982666016,15.424955368041992,24.452491760253906,13.12916088104248,50.63834762573242,6.023060321807861,24.03440284729004,6.1138129234313965,15.069849967956543,8.926187515258789,14.967216491699219,13.788773536682129,9.375027656555176,14.85189437866211,13.548534393310547,5.891814708709717,29.05396842956543,10.010000228881836,7.322174549102783,12.154741287231445,9.310157775878906,9.72553825378418,34.24482345581055,9.369867324829102,12.23681354522705,5.676743030548096
2005-09-06,4.643554210662842,17.105609893798828,2.180999994277954,4.363741397857666,8.471997261047363,12.899999618530273,8.369999885559082,11.188017845153809,7.223055362701416,25.29212188720703,3.6732754707336426,8.265914916992188,8.759082794189453,1.8698869943618774,16.894073486328125,2.7664570808410645,6.849759578704834,2.4111039638519287,3.9955947399139404,7.023097038269043,30.019006729125977,3.9148452281951904,29.285921096801758,16.35259246826172,2.6333329677581787,0.18726833164691925,11.839347839355469,2.558391571044922,1.7515591382980347,7.743096828460693,8.211224555969238,4.4483466148376465,22.09814453125,15.046213150024414,4.902668476104736,12.455883979797363,10.261693000793457,10.370832443237305,18.512304306030273,8.121993064880371,9.879426956176758,15.679251670837402,17.264835357666016,10.596595764160156,2.0818212032318115,28.120824813842773,21.982141494750977,10.147513389587402,4.1966986656188965,3.557546854019165,15.393308639526367,24.842561721801758,13.287799835205078,50.4794807434082,6.024653911590576,24.378082275390625,6.459144115447998,15.182636260986328,8.96798324584961,15.739959716796875,14.317401885986328,9.584527969360352,15.2178955078125,13.548534393310547,5.847448825836182,29.471223831176758,9.989999771118164,7.329406261444092,12.10342025756836,9.495184898376465,9.76606273651123,34.304588317871094,9.521450996398926,12.460823059082031,5.699913501739502
2005-09-07,4.686872959136963,17.213756561279297,2.186500072479248,4.353846073150635,8.463509559631348,12.899999618530273,8.350000381469727,11.356870651245117,7.223055362701416,25.007587432861328,4.077869892120361,8.40058422088623,8.771320343017578,1.852679967880249,17.12765884399414,2.7772233486175537,6.877541542053223,2.4111039638519287,4.034850120544434,6.979619026184082,30.287460327148438,3.954087972640991,29.36048698425293,16.39060401916504,2.5833330154418945,0.19433514773845673,11.969453811645508,2.558391571044922,1.75902259349823,7.828603744506836,8.182144165039062,4.484592437744141,22.050365447998047,15.154837608337402,4.902668476104736,12.95412540435791,10.35227108001709,10.556489944458008,18.365854263305664,8.34760570526123,10.165786743164062,15.679251670837402,17.176300048828125,10.660558700561523,2.098954200744629,28.120824813842773,21.947967529296875,10.147513389587402,4.3414130210876465,3.6443161964416504,15.601265907287598,25.015199661254883,13.287799835205078,50.31471252441406,6.112314701080322,24.521459579467773,6.609921932220459,15.199034690856934,9.033659934997559,15.642430305480957,14.66848087310791,9.736413955688477,15.210189819335938,13.774479866027832,5.85678768157959,29.31539535522461,10.109999656677246,7.290821552276611,12.048152923583984,9.436307907104492,9.806583404541016,34.39423370361328,9.537240982055664,12.449618339538574,5.838935375213623
2005-09-08,4.599179744720459,17.110116958618164,2.1480000019073486,4.373634338378906,8.6587553024292,12.899999618530273,8.300000190734863,11.28285026550293,7.122550964355469,24.936769485473633,3.990917444229126,8.462532043457031,8.76519775390625,1.849811315536499,17.945266723632812,2.7772233486175537,6.88259220123291,2.418356418609619,3.9388859272003174,6.906389236450195,30.65180015563965,3.918771505355835,29.17745590209961,16.385173797607422,2.6166670322418213,0.18373499810695648,11.949934959411621,2.563727855682373,1.7535231113433838,7.6613898277282715,8.105812072753906,4.613100528717041,22.042396545410156,14.58175277709961,4.902668476104736,12.95412540435791,10.287989616394043,10.504677772521973,18.292627334594727,8.153578758239746,10.180858612060547,15.679251670837402,17.11191177368164,11.04433822631836,2.0711121559143066,28.802534103393555,21.816953659057617,10.086165428161621,4.282212734222412,3.6833627223968506,16.63652801513672,25.040781021118164,13.227361679077148,50.31471252441406,6.024653911590576,24.378082275390625,6.429961204528809,15.133420944213867,9.075451850891113,15.54489803314209,14.42232608795166,9.647377014160156,14.986734390258789,13.605022430419922,5.884810924530029,28.89985466003418,9.920000076293945,7.271526336669922,12.10342025756836,9.503595352172852,9.72553825378418,35.11140441894531,9.379340171813965,12.253609657287598,5.901496410369873
2005-09-09,4.64461088180542,17.258817672729492,2.1475000381469727,4.496321678161621,8.69271183013916,12.899999618530273,8.119999885559082,11.33373737335205,7.122550964355469,25.29212188720703,3.967849016189575,8.48946475982666,8.795782089233398,1.932981252670288,18.12044906616211,2.7745323181152344,6.88259220123291,2.4285123348236084,3.9912314414978027,6.926985263824463,30.70125961303711,3.9635062217712402,29.17745590209961,16.879230499267578,2.6177780628204346,0.19433514773845673,12.086544036865234,2.577960968017578,1.7735563516616821,7.699394226074219,8.004036903381348,4.578502655029297,21.763683319091797,14.465642929077148,4.902668476104736,12.767276763916016,10.726275444030762,10.603984832763672,18.525611877441406,8.153578758239746,10.429539680480957,15.750520706176758,17.2165470123291,10.767163276672363,2.0775368213653564,28.802534103393555,22.113157272338867,9.973703384399414,4.26905632019043,3.634192943572998,16.415008544921875,25.2549991607666,13.58996868133545,50.35588073730469,6.05653190612793,24.57416343688965,6.546692848205566,15.26465129852295,8.985892295837402,15.642430305480957,14.450572967529297,9.694513320922852,15.156249046325684,13.524330139160156,5.861456871032715,29.12650489807129,10.020000457763672,7.317351341247559,12.095527648925781,9.537237167358398,10.09024429321289,35.32057571411133,9.39512825012207,12.707235336303711,5.822716236114502
2005-09-12,4.73230504989624,17.1641845703125,2.2249999046325684,4.387980937957764,8.887958526611328,12.899999618530273,7.869999885559082,11.229652404785156,7.06550407409668,25.146696090698242,3.9962422847747803,8.551414489746094,8.838603973388672,1.9759994745254517,18.087081909179688,2.7583866119384766,6.88259220123291,2.424160957336426,4.0130391120910645,6.862910747528076,30.645740509033203,3.9203405380249023,29.774009704589844,16.82493019104004,2.5888888835906982,0.19433514773845673,12.021496772766113,2.5601696968078613,1.777485728263855,7.699394226074219,8.145796775817871,4.613100528717041,21.668121337890625,14.58549976348877,4.902668476104736,12.767276763916016,10.635695457458496,10.686018943786621,18.645437240600586,8.153578758239746,10.339111328125,15.750520706176758,16.870439529418945,10.767163276672363,2.0646870136260986,28.632097244262695,22.107471466064453,9.917469024658203,4.410481929779053,3.6529929637908936,16.595840454101562,25.25818634033203,14.345377922058105,50.1970100402832,6.064499855041504,24.631092071533203,6.64883279800415,15.305669784545898,8.956042289733887,15.709948539733887,14.547415733337402,9.568814277648926,15.187070846557617,13.717987060546875,5.840440273284912,29.23984718322754,10.0,7.293231964111328,12.21395206451416,10.260515213012695,10.09024429321289,35.679161071777344,9.39197063446045,12.88084888458252,5.852838039398193
2005-09-13,4.7914719581604,17.213756561279297,2.196500062942505,4.353846073150635,9.303918838500977,12.899999618530273,8.100000381469727,11.218083381652832,7.06550407409668,25.0139102935791,3.9536547660827637,8.4598388671875,8.850834846496582,1.9587925672531128,18.09541893005371,2.7434747219085693,6.895224571228027,2.4215285778045654,3.986867666244507,6.837738513946533,30.469135284423828,3.9242632389068604,29.509620666503906,16.77606773376465,2.574444055557251,0.19433514773845673,11.87187385559082,2.5454909801483154,1.7476310729980469,7.651888847351074,8.105812072753906,4.534018516540527,21.962770462036133,14.338289260864258,4.902668476104736,12.891841888427734,10.504210472106934,10.59965991973877,18.39580726623535,8.121993064880371,10.278823852539062,15.750520706176758,16.967029571533203,10.575273513793945,2.073253631591797,28.632097244262695,22.19291114807129,9.856119155883789,4.551906108856201,3.63997745513916,16.46925926208496,25.018402099609375,13.71082878112793,50.34998321533203,6.013497352600098,24.432889938354492,6.498054027557373,15.194936752319336,8.95007038116455,15.492383003234863,14.268980026245117,9.710225105285645,14.979029655456543,13.532395362854004,5.833436489105225,28.975391387939453,9.989999771118164,7.273941516876221,12.135002136230469,9.890463829040527,9.928153991699219,35.350460052490234,9.284594535827637,12.875242233276367,5.831984043121338
2005-09-14,4.746039867401123,17.290369033813477,2.1549999713897705,4.363741397857666,9.28693962097168,12.899999618530273,7.900000095367432,11.206521034240723,7.06550407409668,24.74834442138672,3.8933181762695312,8.505623817443848,8.838603973388672,1.9444531202316284,17.8618221282959,2.7299211025238037,6.905511856079102,2.4113006591796875,4.047936916351318,6.819432258605957,30.408571243286133,3.899935483932495,29.25880241394043,16.41231346130371,2.5833330154418945,0.18373499810695648,11.605164527893066,2.5186398029327393,1.7323111295700073,7.515080451965332,8.069464683532715,4.425282001495361,21.787572860717773,14.106060028076172,4.902668476104736,12.891841888427734,10.466224670410156,10.57807731628418,18.305952072143555,8.194835662841797,10.045214653015137,15.750520706176758,16.282875061035156,10.660558700561523,2.0882456302642822,28.632097244262695,22.090370178222656,9.876568794250488,4.489415645599365,3.5777928829193115,16.41048812866211,24.832958221435547,13.846802711486816,50.24403381347656,6.03262186050415,24.22205352783203,6.327820777893066,15.145724296569824,8.741097450256348,15.619921684265137,13.736315727233887,9.6368989944458,14.855749130249023,13.645363807678223,5.833436489105225,28.725128173828125,9.970000267028809,7.242587089538574,12.11131763458252,9.419496536254883,10.09024429321289,34.573524475097656,9.025638580322266,12.522422790527344,5.732351779937744
2005-09-15,4.798868179321289,17.41653823852539,2.135499954223633,4.362256050109863,9.18507194519043,12.899999618530273,7.769999980926514,11.09549617767334,7.06550407409668,24.993675231933594,3.7300620079040527,8.411358833312988,8.838603973388672,1.9243777990341187,18.16216468811035,2.727207899093628,6.908086776733398,2.3981480598449707,4.030487537384033,6.807985305786133,30.327838897705078,3.9242632389068604,29.10964584350586,16.30916404724121,2.592221975326538,0.19433514773845673,11.728763580322266,2.5186398029327393,1.7433100938796997,7.410571575164795,7.953146457672119,4.405510425567627,21.875167846679688,14.102314949035645,4.902668476104736,12.891841888427734,10.375646591186523,10.60830020904541,18.63212776184082,8.308650970458984,9.86435604095459,15.679251670837402,16.339218139648438,10.660558700561523,2.0946717262268066,28.632097244262695,21.98783302307129,9.87145709991455,4.50915002822876,3.63853120803833,16.392404556274414,24.858537673950195,13.922348976135254,50.09105682373047,6.008713245391846,24.25156593322754,6.342411994934082,15.145724296569824,8.860508918762207,15.890005111694336,13.942116737365723,9.605476379394531,14.639998435974121,13.62115478515625,5.826429843902588,29.079286575317383,9.979999542236328,7.24740743637085,12.277120590209961,9.453130722045898,10.454952239990234,33.706947326660156,8.921426773071289,12.337616920471191,5.8296685218811035
